
=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-22T11:05:36-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-22T19:05:36-04:00

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:42:28-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:42:28-04:00
SENTINEL soak-loop-entered
./scripts/measure-soak-instrument.sh: line 174: MPE_METER_LAST_AGE_S: unbound variable
SENTINEL soak-aborted stage=soak-loop-minute rc=1

=== B2 RESTART after 8f138ec fix 2026-08-23T00:51:44-04:00 ===
pilot=PASS log=/home/mitch/instrument-soak-pilot-2026-08-23.log meter_age_s=0@minute1

=== measure-soak-instrument buffer=1024 periods=2 patch=Cloud Horn voices=5 hours=8 2026-08-23T00:51:44-04:00 ===
PROVENANCE patch=Cloud Horn hold_voices=5 buffer=1024 periods=2 condition=A
SENTINEL soak-start
expected_finish=2026-08-23T08:51:44-04:00
SENTINEL soak-loop-entered
SOAK minute=133 xruns_minute=0 xruns_total=420 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=134 xruns_minute=0 xruns_total=420 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=135 xruns_minute=4 xruns_total=424 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=136 xruns_minute=2 xruns_total=426 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=137 xruns_minute=0 xruns_total=426 meter_live=1 meter_age_s=0 temp=44.8'C throttled=0x0
SOAK minute=138 xruns_minute=0 xruns_total=426 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=139 xruns_minute=0 xruns_total=426 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=140 xruns_minute=0 xruns_total=426 meter_live=1 meter_age_s=0 temp=44.8'C throttled=0x0
SOAK minute=141 xruns_minute=12 xruns_total=438 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=142 xruns_minute=0 xruns_total=438 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=143 xruns_minute=6 xruns_total=444 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=144 xruns_minute=0 xruns_total=444 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=145 xruns_minute=4 xruns_total=448 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=146 xruns_minute=8 xruns_total=456 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=147 xruns_minute=0 xruns_total=456 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=148 xruns_minute=3 xruns_total=459 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=149 xruns_minute=0 xruns_total=459 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=150 xruns_minute=0 xruns_total=459 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=151 xruns_minute=0 xruns_total=459 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=152 xruns_minute=5 xruns_total=464 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=153 xruns_minute=2 xruns_total=466 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=154 xruns_minute=6 xruns_total=472 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=155 xruns_minute=4 xruns_total=476 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=156 xruns_minute=0 xruns_total=476 meter_live=1 meter_age_s=0 temp=47.2'C throttled=0x0
SOAK minute=157 xruns_minute=0 xruns_total=476 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=158 xruns_minute=0 xruns_total=476 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=159 xruns_minute=3 xruns_total=479 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=160 xruns_minute=0 xruns_total=479 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=161 xruns_minute=8 xruns_total=487 meter_live=1 meter_age_s=0 temp=44.3'C throttled=0x0
SOAK minute=162 xruns_minute=0 xruns_total=487 meter_live=1 meter_age_s=1 temp=45.2'C throttled=0x0
SOAK minute=163 xruns_minute=2 xruns_total=489 meter_live=1 meter_age_s=1 temp=46.7'C throttled=0x0
SOAK minute=164 xruns_minute=4 xruns_total=493 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=165 xruns_minute=2 xruns_total=495 meter_live=1 meter_age_s=1 temp=45.2'C throttled=0x0
SOAK minute=166 xruns_minute=0 xruns_total=495 meter_live=1 meter_age_s=0 temp=44.8'C throttled=0x0
SOAK minute=167 xruns_minute=0 xruns_total=495 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=168 xruns_minute=0 xruns_total=495 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=169 xruns_minute=0 xruns_total=495 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=170 xruns_minute=4 xruns_total=499 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
SOAK minute=171 xruns_minute=0 xruns_total=499 meter_live=1 meter_age_s=0 temp=46.7'C throttled=0x0
SOAK minute=172 xruns_minute=2 xruns_total=501 meter_live=1 meter_age_s=0 temp=44.8'C throttled=0x0
SOAK minute=173 xruns_minute=2 xruns_total=503 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=174 xruns_minute=4 xruns_total=507 meter_live=1 meter_age_s=0 temp=46.2'C throttled=0x0
SOAK minute=175 xruns_minute=2 xruns_total=509 meter_live=1 meter_age_s=0 temp=45.2'C throttled=0x0
SOAK minute=176 xruns_minute=0 xruns_total=509 meter_live=1 meter_age_s=0 temp=45.7'C throttled=0x0
